Read Date,Account Number,Name,Meter,kWh,kW
"1/10/2020 12:00:00 AM","004248051001","ND XXV LLC","000009217682g","0.00","0.00"
"1/10/2020 12:30:00 AM","004248051001","ND XXV LLC","000009217682g","0.00","0.00"
"1/10/2020 1:00:00 AM","004248051001","ND XXV LLC","000009217682g","0.00","0.00"
"1/10/2020 1:30:00 AM","004248051001","ND XXV LLC","000009217682g","0.00","0.00"
"1/10/2020 2:00:00 AM","004248051001","ND XXV LLC","000009217682g","0.00","0.00"
"1/10/2020 2:30:00 AM","004248051001","ND XXV LLC","000009217682g","0.00","0.00"
"1/10/2020 3:00:00 AM","004248051001","ND XXV LLC","000009217682g","0.00","0.00"
"1/10/2020 3:30:00 AM","004248051001","ND XXV LLC","000009217682g","0.00","0.00"
"1/10/2020 4:00:00 AM","004248051001","ND XXV LLC","000009217682g","0.00","0.00"
"1/10/2020 4:30:00 AM","004248051001","ND XXV LLC","000009217682g","0.00","0.00"
"1/10/2020 5:00:00 AM","004248051001","ND XXV LLC","000009217682g","0.00","0.00"
"1/10/2020 5:30:00 AM","004248051001","ND XXV LLC","000009217682g","0.00","0.00"
"1/10/2020 6:00:00 AM","004248051001","ND XXV LLC","000009217682g","0.00","0.00"
"1/10/2020 6:30:00 AM","004248051001","ND XXV LLC","000009217682g","0.00","0.00"
"1/10/2020 7:00:00 AM","004248051001","ND XXV LLC","000009217682g","0.00","0.00"
"1/10/2020 7:30:00 AM","004248051001","ND XXV LLC","000009217682g","0.00","0.00"
"1/10/2020 8:00:00 AM","004248051001","ND XXV LLC","000009217682g","0.00","0.00"
"1/10/2020 8:30:00 AM","004248051001","ND XXV LLC","000009217682g","0.00","0.00"
"1/10/2020 9:00:00 AM","004248051001","ND XXV LLC","000009217682g","0.00","0.00"
"1/10/2020 9:30:00 AM","004248051001","ND XXV LLC","000009217682g","0.00","0.00"
"1/10/2020 10:00:00 AM","004248051001","ND XXV LLC","000009217682g","0.00","0.00"
"1/10/2020 10:30:00 AM","004248051001","ND XXV LLC","000009217682g","0.00","0.00"
"1/10/2020 11:00:00 AM","004248051001","ND XXV LLC","000009217682g","0.00","0.00"
"1/10/2020 11:30:00 AM","004248051001","ND XXV LLC","000009217682g","0.00","0.00"
"1/10/2020 12:00:00 PM","004248051001","ND XXV LLC","000009217682g","0.00","0.00"
