Read Date,Account Number,Name,Meter,kWh,kW
"1/10/2020 12:00:00 AM","004248051001","ND XXV LLC","000009217682","149.52","299.04"
"1/10/2020 12:30:00 AM","004248051001","ND XXV LLC","000009217682","151.62","303.24"
"1/10/2020 1:00:00 AM","004248051001","ND XXV LLC","000009217682","148.32","296.64"
"1/10/2020 1:30:00 AM","004248051001","ND XXV LLC","000009217682","142.86","285.72"
"1/10/2020 2:00:00 AM","004248051001","ND XXV LLC","000009217682","148.08","296.16"
"1/10/2020 2:30:00 AM","004248051001","ND XXV LLC","000009217682","146.58","293.16"
"1/10/2020 3:00:00 AM","004248051001","ND XXV LLC","000009217682","146.04","292.08"
"1/10/2020 3:30:00 AM","004248051001","ND XXV LLC","000009217682","148.26","296.52"
"1/10/2020 4:00:00 AM","004248051001","ND XXV LLC","000009217682","150.42","300.84"
"1/10/2020 4:30:00 AM","004248051001","ND XXV LLC","000009217682","153.00","306.00"
"1/10/2020 5:00:00 AM","004248051001","ND XXV LLC","000009217682","156.78","313.56"
"1/10/2020 5:30:00 AM","004248051001","ND XXV LLC","000009217682","162.54","325.08"
"1/10/2020 6:00:00 AM","004248051001","ND XXV LLC","000009217682","159.78","319.56"
"1/10/2020 6:30:00 AM","004248051001","ND XXV LLC","000009217682","162.24","324.48"
"1/10/2020 7:00:00 AM","004248051001","ND XXV LLC","000009217682","175.02","350.04"
"1/10/2020 7:30:00 AM","004248051001","ND XXV LLC","000009217682","173.76","347.52"
"1/10/2020 8:00:00 AM","004248051001","ND XXV LLC","000009217682","181.14","362.28"
"1/10/2020 8:30:00 AM","004248051001","ND XXV LLC","000009217682","180.12","360.24"
"1/10/2020 9:00:00 AM","004248051001","ND XXV LLC","000009217682","169.68","339.36"
"1/10/2020 9:30:00 AM","004248051001","ND XXV LLC","000009217682","169.38","338.76"
"1/10/2020 10:00:00 AM","004248051001","ND XXV LLC","000009217682","175.74","351.48"
"1/10/2020 10:30:00 AM","004248051001","ND XXV LLC","000009217682","171.72","343.44"
"1/10/2020 11:00:00 AM","004248051001","ND XXV LLC","000009217682","164.82","329.64"
"1/10/2020 11:30:00 AM","004248051001","ND XXV LLC","000009217682","158.40","316.80"
"1/10/2020 12:00:00 PM","004248051001","ND XXV LLC","000009217682","152.58","305.16"
"1/10/2020 12:30:00 PM","004248051001","ND XXV LLC","000009217682","148.32","296.64"
"1/10/2020 1:00:00 PM","004248051001","ND XXV LLC","000009217682","149.58","299.16"
"1/10/2020 1:30:00 PM","004248051001","ND XXV LLC","000009217682","160.86","321.72"
"1/10/2020 2:00:00 PM","004248051001","ND XXV LLC","000009217682","164.22","328.44"
"1/10/2020 2:30:00 PM","004248051001","ND XXV LLC","000009217682","160.74","321.48"
"1/10/2020 3:00:00 PM","004248051001","ND XXV LLC","000009217682","161.40","322.80"
"1/10/2020 3:30:00 PM","004248051001","ND XXV LLC","000009217682","165.66","331.32"
"1/10/2020 4:00:00 PM","004248051001","ND XXV LLC","000009217682","167.70","335.40"
"1/10/2020 4:30:00 PM","004248051001","ND XXV LLC","000009217682","174.30","348.60"
"1/10/2020 5:00:00 PM","004248051001","ND XXV LLC","000009217682","171.24","342.48"
"1/10/2020 5:30:00 PM","004248051001","ND XXV LLC","000009217682","158.58","317.16"
