datetime,value
2020-12-11 05:00:02.207000,139.784
2020-12-11 05:15:02.590000,145.2751
2020-12-11 05:30:02.347000,144.6566
2020-12-11 05:45:02.164000,140.8305
2020-12-11 06:00:02.250000,140.5686
2020-12-11 06:15:02.113000,136.1336
2020-12-11 06:30:02.364000,143.6776
2020-12-11 06:45:02.144000,134.6907
2020-12-11 07:00:02.212000,142.7601
2020-12-11 07:15:02.132000,152.4732
2020-12-11 07:30:02.100000,146.888
2020-12-11 07:45:02.100000,142.4456
2020-12-11 08:00:02.171000,144.1202
2020-12-11 08:15:02.114000,139.2734
2020-12-11 08:30:02.180000,146.9451
2020-12-11 08:45:02.176000,137.6324
2020-12-11 09:00:02.244000,147.3644
2020-12-11 09:15:02.163000,148.0983
2020-12-11 09:30:02.173000,146.6776
2020-12-11 09:45:02.237000,147.0141
2020-12-11 10:00:02.180000,148.4936
2020-12-11 10:15:02.099000,146.8347
2020-12-11 10:30:02.083000,142.1949
2020-12-11 10:45:02.143000,145.6338
2020-12-11 11:00:02.114000,139.9133
2020-12-11 11:15:02.094000,145.3869
2020-12-11 11:30:02.129000,145.762
2020-12-11 11:45:02.229000,148.392
2020-12-11 12:00:02.249000,251.0599
2020-12-11 12:15:02.285000,456.4612
2020-12-11 12:30:02.170000,447.0663
2020-12-11 12:45:02.126000,420.6225
2020-12-11 13:00:02.257000,384.6216
2020-12-11 13:15:02.267000,342.3282
2020-12-11 13:30:02.179000,277.6998
2020-12-11 13:45:02.148000,234.1355
2020-12-11 14:00:02.115000,202.9201
2020-12-11 14:15:02.201000,162.9325
2020-12-11 14:30:02.195000,111.2755
2020-12-11 14:45:02.229000,65.7747
2020-12-11 15:00:02.107000,40.1468
2020-12-11 15:15:02.108000,6.7092
2020-12-11 15:30:02.141000,0.5627257227897644
2020-12-11 15:45:02.142000,0.04734797403216362
2020-12-11 16:00:02.118000,0.00397520000115037
2020-12-11 16:15:02.408000,0.00033351994352415204
2020-12-11 16:30:02.138000,2.8039603421348147e-05
2020-12-11 16:45:02.351000,2.3588688691233983e-06
2020-12-11 17:00:02.191000,1.9790310545886314e-07
2020-12-11 17:15:02.293000,1.664895954434087e-08
2020-12-11 17:30:02.164000,1.4008879611893121e-09
2020-12-11 17:45:02.354000,1.1785296349930974e-10
2020-12-11 18:00:02.117000,9.915455609355028e-12
2020-12-11 18:15:02.312000,8.342056429314071e-13
2020-12-11 18:30:02.138000,7.018243272779653e-14
2020-12-11 18:45:02.108000,5.904878433546541e-15
2020-12-11 19:00:02.143000,4.967765120538522e-16
2020-12-11 19:15:02.156000,4.2704790618548606e-17
2020-12-11 19:30:02.173000,3.593220054961455e-18
2020-12-11 19:45:02.148000,9.5761
2020-12-11 20:00:02.155000,49.5553
2020-12-11 20:15:02.156000,63.6057
2020-12-11 20:30:02.103000,102.6264
2020-12-11 20:45:02.197000,149.2766
2020-12-11 21:00:02.290000,180.6948
2020-12-11 21:15:02.169000,216.3446
2020-12-11 21:30:02.193000,227.5226
2020-12-11 21:45:02.294000,228.9528
2020-12-11 22:00:02.149000,228.4508
2020-12-11 22:15:02.263000,238.0447
2020-12-11 22:30:02.162000,242.3816
2020-12-11 22:45:02.199000,237.1471
2020-12-11 23:00:02.112000,221.9302
2020-12-11 23:15:02.144000,128.339
2020-12-11 23:30:02.150000,111.6242
2020-12-11 23:45:02.168000,113.2263
2020-12-12 00:00:02.180000,121.163
2020-12-12 00:15:02.151000,117.497
2020-12-12 00:30:02.091000,108.7675
2020-12-12 00:45:02.529000,111.3994
2020-12-12 01:00:02.105000,118.1762
2020-12-12 01:15:02.100000,116.5174
2020-12-12 01:30:02.227000,112.9449
2020-12-12 01:45:02.106000,122.893
2020-12-12 02:00:02.131000,123.7915
2020-12-12 02:15:02.194000,117.0366
2020-12-12 02:30:02.182000,116.5942
2020-12-12 02:45:02.188000,110.5272
2020-12-12 03:00:02.204000,110.9771
2020-12-12 03:15:02.152000,114.2321
2020-12-12 03:30:02.180000,110.8805
2020-12-12 03:45:02.142000,122.3175
